artist,cardClass,collectible,cost,dbfId,flavor,id,name,rarity,set,spellSchool,text,type,mechanics,attack,health,race,elite,targetingArrowText,durability,overload,spellDamage,battlegroundsPremiumDbfId,howToEarnGolden,howToEarn,armor,hasDiamondSkin,collectionText,techLevel,faction,multiClassGroup,isMiniSet,hideStats,battlegroundsDarkmoonPrizeTurn,questReward
Arthur Gimaldinov,NEUTRAL,TRUE,7,69727,Aspiring meteorologist!,CORE_UNG_813,Stormwatcher,COMMON,CORE,NA,<b>Windfury</b>,MINION,WINDFURY,4,8,ELEMENTAL,NA,NA,NA,NA,NA,NA,Unlocked after 500 total wins.,Unlocked at level 1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Grecke,SHAMAN,TRUE,3,69744,Also good for removing pesky stains.,CORE_UNG_817,Tidal Surge,COMMON,CORE,"NATURE","<b>Lifesteal</b>
Deal $4 damage to a minion.",SPELL,LIFESTEAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unlocked after winning 50 games as Shaman.,Unlocked at level 1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Allsop,WARLOCK,TRUE,4,69737,Guaranteed to track tar all over your carpet.,CORE_UNG_833,Lakkari Felhound,COMMON,CORE,NA,"<b>Taunt</b>
<b>Battlecry:</b> Discard your two lowest-Cost cards.",MINION,BATTLECRY,3,8,DEMON,NA,NA,NA,NA,NA,NA,Unlocked after winning 50 games as Warlock.,Unlocked at level 1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Allsop,WARLOCK,TRUE,4,69737,Guaranteed to track tar all over your carpet.,CORE_UNG_833,Lakkari Felhound,COMMON,CORE,NA,"<b>Taunt</b>
<b>Battlecry:</b> Discard your two lowest-Cost cards.",MINION,TAUNT,3,8,DEMON,NA,NA,NA,NA,NA,NA,Unlocked after winning 50 games as Warlock.,Unlocked at level 1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tooth,NEUTRAL,TRUE,3,69728,Loves goblins.  In a light cream sauce.,CORE_UNG_844,Humongous Razorleaf,RARE,CORE,NA,Can't attack.,MINION,CANT_ATTACK,4,8,NA,NA,NA,NA,NA,NA,NA,Unlocked after 1000 total wins.,Unlocked at level 58.,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Donato Giancola,NEUTRAL,TRUE,1,922,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.",CS1_042,Goldshire Footman,FREE,LEGACY,NA,<b>Taunt</b>,MINION,TAUNT,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Monica Langlois,NEUTRAL,TRUE,5,602,"He used to be called Bog Beast, but it confused people because he wasn't an actual beast.   Boom, New Name!",CS1_069,Fen Creeper,COMMON,EXPERT1,NA,<b>Taunt</b>,MINION,TAUNT,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Luca Zontini,PRIEST,TRUE,4,841,"If the Holy Light forsakes you, good luck casting this spell.  Also, you're probably a jerk.",CS1_112,Holy Nova,FREE,LEGACY,HOLY,Deal $2 damage to all enemy minions. Restore #2 Health to all friendly characters.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean O’Daniels,PRIEST,TRUE,10,8,"Nominated as ""Spell Most Likely to Make Your Opponent Punch the Wall.""",CS1_113,Mind Control,FREE,LEGACY,SHADOW,Take control of an enemy minion.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Prescott,PRIEST,TRUE,1,376,Good idea: Buffing your minions.  Bad idea: Starting a conversation in the Barrens.,CS1_129,Inner Fire,COMMON,EXPERT1,NA,Change a minion's Attack to be equal to its Health.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Ellis,PRIEST,TRUE,1,279,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,CS1_130,Holy Smite,FREE,LEGACY,HOLY,"Deal $3 damage
to a minion.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Komarck,PRIEST,TRUE,1,1099,I see what you did there.,CS2_003,Mind Vision,FREE,LEGACY,SHADOW,Put a copy of a random card in your opponent's hand into your hand.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jessica Jung,PRIEST,TRUE,1,613,"Sure the extra protection is nice, but the shield really reduces visibility.",CS2_004,Power Word: Shield,FREE,LEGACY,HOLY,"Give a minion +2 Health.
Draw a card.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dany Orizio,DRUID,TRUE,1,1050,The claw decides who will stay and who will go.,CS2_005,Claw,FREE,LEGACY,NA,Give your hero +2 Attack this turn. Gain 2 Armor.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyril Van Der Haegen,DRUID,TRUE,3,773,"8 Health, no waiting.",CS2_007,Healing Touch,FREE,LEGACY,"NATURE",Restore #8 Health.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richard Wright,DRUID,TRUE,0,467,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3",CS2_008,Moonfire,FREE,LEGACY,ARCANE,Deal $1 damage.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brad Vancata,DRUID,TRUE,2,213,Not to be confused with Jim of the Wild.,CS2_009,Mark of the Wild,FREE,LEGACY,"NATURE","Give a minion <b>Taunt</b> and +2/+3.<i>
(+2 Attack/+3 Health)</i>",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grace Liu,DRUID,TRUE,3,742,"What do they roar? Nobody can quite tell, but it sounds like ""Elephant Macho Breeze"".  It's probably not that, though.",CS2_011,Savage Roar,FREE,LEGACY,NA,Give your characters +2 Attack this turn.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean O’Daniels,DRUID,TRUE,4,64,"When a bear rears back and extends his arms, he's about to Swipe!  ... or hug.",CS2_012,Swipe,FREE,LEGACY,NA,Deal $4 damage to an enemy and $1 damage to all other enemies.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ryman,DRUID,TRUE,3,1124,"Grow your own mana crystals with this Mana Crystal Growth Kit, only 39.99!",CS2_013,Wild Growth,FREE,LEGACY,"NATURE",Gain an empty Mana Crystal.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vance Kovacs,MAGE,TRUE,4,77,"There was going to be a pun in this flavor text, but it just came out baa-d.",CS2_022,Polymorph,FREE,LEGACY,ARCANE,"Transform a minion
into a 1/1 Sheep.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Berggren,MAGE,TRUE,3,555,Playing this card makes you SMARTER.  And let's face it: we could all stand to be a little smarter.,CS2_023,Arcane Intellect,FREE,LEGACY,ARCANE,Draw 2 cards.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Ellis,MAGE,TRUE,2,662,"It is customary to yell ""Chill out!"" or ""Freeze!"" or ""Ice ice, baby!"" when you play this card.",CS2_024,Frostbolt,FREE,LEGACY,FROST,Deal $3 damage to a character and <b>Freeze</b> it.,SPELL,FREEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Lyon,MAGE,TRUE,2,447,This spell is much better than Arcane Implosion.,CS2_025,Arcane Explosion,FREE,LEGACY,ARCANE,Deal $1 damage to all enemy minions.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Tallman,MAGE,TRUE,3,587,"Hey man, that's cold.  Literally and metaphorically.",CS2_026,Frost Nova,FREE,LEGACY,FROST,<b>Freeze</b> all enemy minions.,SPELL,FREEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Nelson,MAGE,TRUE,1,1084,Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO,CS2_027,Mirror Image,FREE,LEGACY,NA,Summon two 0/2 minions with <b>Taunt</b>.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Seaman,MAGE,TRUE,6,457,This spell can be very Entertaining.,CS2_028,Blizzard,RARE,EXPERT1,FROST,Deal $2 damage to all enemy minions and <b>Freeze</b> them.,SPELL,FREEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ralph Horsley,MAGE,TRUE,4,315,"This spell is useful for burning things.  If you're looking for spells that toast things, or just warm them a little, you're in the wrong place.",CS2_029,Fireball,FREE,LEGACY,FIRE,Deal $6 damage.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,MAGE,TRUE,1,172,"The trick is not to break the lance.  Otherwise, you have ""Ice Pieces.""  Ice Pieces aren't as effective.",CS2_031,Ice Lance,COMMON,EXPERT1,FROST,"<b>Freeze</b> a character. If it was already <b>Frozen</b>, deal $4 damage instead.",SPELL,FREEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romain De Santi,MAGE,TRUE,7,1004,"When the ground is on fire, you should <i>not</i> stop, drop, and roll.",CS2_032,Flamestrike,FREE,LEGACY,FIRE,Deal $5 damage to all enemy minions.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Avon,MAGE,TRUE,4,395,Don't summon a water elemental at a party.  It'll dampen the mood.,CS2_033,Water Elemental,FREE,LEGACY,NA,<b>Freeze</b> any character damaged by this minion.,MINION,FREEZE,3,6,ELEMENTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,SHAMAN,TRUE,1,971,FROST SHOCK!,CS2_037,Frost Shock,FREE,LEGACY,FROST,Deal $1 damage to an enemy character and <b>Freeze</b> it.,SPELL,FREEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,SHAMAN,TRUE,2,404,It was just a flesh wound.,CS2_038,Ancestral Spirit,RARE,EXPERT1,NA,"Give a minion ""<b>Deathrattle:</b> Resummon this minion.""",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Sweet,SHAMAN,TRUE,2,51,"Windfury is like Earthfury and Firefury, but more light and airy.",CS2_039,Windfury,FREE,LEGACY,"NATURE",Give a minion <b>Windfury</b>.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Scott,SHAMAN,TRUE,0,149,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",CS2_041,Ancestral Healing,FREE,LEGACY,"NATURE","Restore a minion
to full Health and
give it <b>Taunt</b>.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ralph Horsley,SHAMAN,TRUE,6,189,He can never take a bath. Ewww.,CS2_042,Fire Elemental,FREE,LEGACY,NA,<b>Battlecry:</b> Deal 4 damage.,MINION,BATTLECRY,6,5,ELEMENTAL,NA,Deal 4 damage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,SHAMAN,TRUE,2,239,This would be real handy if your enemy is made of rock.,CS2_045,Rockbiter Weapon,FREE,LEGACY,"NATURE",Give a friendly character +3 Attack this turn.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luca Zontini,SHAMAN,TRUE,5,1171,blaarghghLLGHRHARAAHAHHH!!,CS2_046,Bloodlust,FREE,LEGACY,NA,Give your minions +3 Attack this turn.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lars Grant-West,SHAMAN,TRUE,3,818,"Drek'thar can't see, but he can <i>see</i>. You know what I mean? It's ok if you don't.",CS2_053,Far Sight,EPIC,EXPERT1,NA,Draw a card. That card costs (3) less.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Allsop,WARLOCK,TRUE,3,914,It’s a Bolt.   It's made out of Shadow.   What more do you need to know!,CS2_057,Shadow Bolt,FREE,LEGACY,SHADOW,"Deal $4 damage
to a minion.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernie Kang,WARLOCK,TRUE,1,469,Imps are content to hide and viciously taunt everyone nearby.,CS2_059,Blood Imp,COMMON,EXPERT1,NA,"[x]  <b>Stealth</b>. At the end of your  
turn, give another random
 friendly minion +1 Health.",MINION,STEALTH,0,1,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernie Kang,WARLOCK,TRUE,1,469,Imps are content to hide and viciously taunt everyone nearby.,CS2_059,Blood Imp,COMMON,EXPERT1,NA,"[x]  <b>Stealth</b>. At the end of your  
turn, give another random
 friendly minion +1 Health.",MINION,TRIGGER_VISUAL,0,1,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,WARLOCK,TRUE,3,919,"""I've just sucked one year of your life away.""",CS2_061,Drain Life,FREE,LEGACY,SHADOW,Deal $2 damage. Restore #2 Health to your hero.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chippy,WARLOCK,TRUE,4,950,It's spells like these that make it hard for Warlocks to get decent help.,CS2_062,Hellfire,FREE,LEGACY,FIRE,Deal $3 damage to ALL characters.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne Reynolds,WARLOCK,TRUE,1,982,"It starts with stealing a pen from work, and before you know it, BOOOM!  Corrupted!",CS2_063,Corruption,FREE,LEGACY,NA,"Choose an enemy minion. At the start of your turn, destroy it.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,WARLOCK,TRUE,6,1019,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",CS2_064,Dread Infernal,FREE,LEGACY,NA,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,MINION,BATTLECRY,6,6,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,WARLOCK,TRUE,1,48,"No relation to ""The Voidsteppers"", the popular Void-based dance troupe.",CS2_065,Voidwalker,FREE,LEGACY,NA,<b>Taunt</b>,MINION,TAUNT,1,3,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Sutfin,ROGUE,TRUE,0,180,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.",CS2_072,Backstab,FREE,LEGACY,NA,Deal $2 damage to an undamaged minion.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,ROGUE,TRUE,2,268,"""I'm cold blooded, check it and see!""",CS2_073,Cold Blood,COMMON,EXPERT1,NA,Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,SPELL,COMBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Jacobs,ROGUE,TRUE,1,459,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.",CS2_074,Deadly Poison,FREE,LEGACY,"NATURE",Give your weapon +2 Attack.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Cho,ROGUE,TRUE,1,710,"There's something about this strike that just feels off.  Sinister, even.",CS2_075,Sinister Strike,FREE,LEGACY,NA,Deal $3 damage to the enemy hero.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glenn Rane,ROGUE,TRUE,4,345,"If you don't want to be assassinated, move to the Barrens and change your name. Good luck!",CS2_076,Assassinate,FREE,LEGACY,NA,Destroy an enemy minion.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Zhang,ROGUE,TRUE,6,630,Rogues are not good joggers.,CS2_077,Sprint,FREE,LEGACY,NA,Draw 4 cards.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Huang,ROGUE,TRUE,4,421,Guaranteed to have been owned by a real assassin.   Certificate of authenticity included.,CS2_080,Assassin's Blade,FREE,LEGACY,NA,NA,WEAPON,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Lo,HUNTER,TRUE,1,141,Never play 'Hide and Go Seek' with a Hunter.,CS2_084,Hunter's Mark,FREE,LEGACY,NA,Change a minion's Health to 1.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan Boros,PALADIN,TRUE,1,70,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",CS2_087,Blessing of Might,FREE,LEGACY,HOLY,Give a minion +3 Attack.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. M. Gist,PALADIN,TRUE,7,1068,Holy beings from the beyond are so cliché!,CS2_088,Guardian of Kings,FREE,LEGACY,NA,"<b>Taunt</b>
<b>Battlecry:</b> Restore #6 Health to your hero.",MINION,BATTLECRY,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. M. Gist,PALADIN,TRUE,7,1068,Holy beings from the beyond are so cliché!,CS2_088,Guardian of Kings,FREE,LEGACY,NA,"<b>Taunt</b>
<b>Battlecry:</b> Restore #6 Health to your hero.",MINION,TAUNT,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,PALADIN,TRUE,2,291,"If you are often bathed in Holy Light, you should consider wearing sunscreen.",CS2_089,Holy Light,FREE,LEGACY,HOLY,Restore #8 Health to your hero.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glenn Rane,PALADIN,TRUE,1,383,Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.,CS2_091,Light's Justice,FREE,LEGACY,NA,NA,WEAPON,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Graciano,PALADIN,TRUE,4,943,"Given the number of kings who have been assassinated, are you sure you want their blessing?",CS2_092,Blessing of Kings,FREE,LEGACY,HOLY,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vance Kovacs,PALADIN,TRUE,4,476,"Consecrated ground glows with Holy energy.  But it smells a little, too.",CS2_093,Consecration,FREE,LEGACY,HOLY,Deal $2 damage to all enemies.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Efrem Palacios,PALADIN,TRUE,4,250,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",CS2_094,Hammer of Wrath,FREE,LEGACY,HOLY,"Deal $3 damage.
Draw a card.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Sook,PALADIN,TRUE,4,847,"It Slices, it Dices. You can cut a tin can with it. (But you wouldn't want to.)",CS2_097,Truesilver Champion,FREE,LEGACY,NA,"Whenever your hero attacks, restore #2 Health to it.",WEAPON,TRIGGER_VISUAL,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,WARRIOR,TRUE,3,344,"""Guys! Guys! Slow down!"" - some kind of non-warrior minion",CS2_103,Charge,FREE,LEGACY,NA,Give a friendly minion +2 Attack and <b>Charge</b>.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonboy Meyers,WARRIOR,TRUE,2,1108,Minion get ANGRY.   Minion SMASH!,CS2_104,Rampage,COMMON,EXPERT1,NA,Give a damaged minion +3/+3.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonboy Meyers,WARRIOR,TRUE,2,1007,"Really, if you're a hero, this is <i>every</i> strike.",CS2_105,Heroic Strike,FREE,LEGACY,NA,Give your hero +4 Attack this turn.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Graciano,WARRIOR,TRUE,3,401,"During times of tranquility and harmony, this weapon was called by its less popular name, Chilly Peace Axe.",CS2_106,Fiery War Axe,FREE,LEGACY,NA,NA,WEAPON,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dany Orizio,WARRIOR,TRUE,2,785,"It's okay, he deserved it.",CS2_108,Execute,FREE,LEGACY,NA,Destroy a damaged enemy minion.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefan Kopinski,WARRIOR,TRUE,5,304,No… actually you should fear the Reaper.,CS2_112,Arcanite Reaper,FREE,LEGACY,NA,NA,WEAPON,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phroilan Gardner,WARRIOR,TRUE,2,940,Hey you two…could you stand next to each other for a second…,CS2_114,Cleave,FREE,LEGACY,NA,"[x]Deal $2 damage to
two random enemy
minions.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,3,1651,"He can see really far, and he doesn't use a telescope like those filthy pirates.",CS2_117,Earthen Ring Farseer,COMMON,EXPERT1,NA,<b>Battlecry:</b> Restore #3 Health.,MINION,BATTLECRY,3,3,NA,NA,Restore 3 Health.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gaser,NEUTRAL,TRUE,3,1653,"He likes to think he is powerful, but pretty much anyone can solo Molten Core now.",CS2_118,Magma Rager,FREE,LEGACY,NA,NA,MINION,NA,5,1,ELEMENTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ittoku,NEUTRAL,TRUE,4,1370,His dreams of flying and breathing fire like his idol will never be realized.,CS2_119,Oasis Snapjaw,FREE,LEGACY,NA,NA,MINION,NA,2,7,BEAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daren Bader,NEUTRAL,TRUE,2,1369,"Edward ""Lefty"" Smith tried to make luggage out of a river crocolisk once.",CS2_120,River Crocolisk,FREE,LEGACY,NA,NA,MINION,NA,2,3,BEAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richie Marella,NEUTRAL,TRUE,2,41,Grunting is what his father did and his father before that.   It's more than just a job.,CS2_121,Frostwolf Grunt,FREE,LEGACY,NA,<b>Taunt</b>,MINION,TAUNT,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phill Gonzales,NEUTRAL,TRUE,3,1401,"""That's a 50 DKP minus!""",CS2_122,Raid Leader,FREE,LEGACY,NA,Your other minions have +1 Attack.,MINION,AURA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dany Orizio,NEUTRAL,TRUE,3,289,"Orcish raiders ride wolves because they are well adapted to harsh environments, and because they are soft and cuddly.",CS2_124,Wolfrider,FREE,LEGACY,NA,<b>Charge</b>,MINION,CHARGE,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HORDE,NA,NA,NA,NA,NA
Lars Grant-West,NEUTRAL,TRUE,3,1182,"""Bear Carcass 1/10""",CS2_125,Ironfur Grizzly,FREE,LEGACY,NA,<b>Taunt</b>,MINION,TAUNT,3,3,BEAST,NA,NA,NA,NA,NA,NA,Unlocked at Hunter Level 59.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
